epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,9542.77,1.03914,0.80712,1.18649,0.64029,0.54266,0.58723,0.41839,1.08275,0.87951,1.17676,0.001882,0.001882,0.001882
84,9659.39,1.03818,0.7984,1.18386,0.66227,0.53711,0.59463,0.42428,1.08449,0.87322,1.17561,0.001783,0.001783,0.001783
85,9784.3,1.02821,0.7982,1.18493,0.65422,0.536,0.59131,0.42324,1.07876,0.87506,1.1733,0.001684,0.001684,0.001684
86,9897.27,1.02712,0.79183,1.17837,0.65673,0.54202,0.59473,0.42461,1.0796,0.87438,1.17466,0.001585,0.001585,0.001585
87,10068.2,1.04477,0.78881,1.17793,0.65864,0.53021,0.59131,0.42208,1.08076,0.87148,1.17469,0.001486,0.001486,0.001486
88,10173.5,1.03197,0.79099,1.18063,0.6559,0.5218,0.58852,0.4201,1.08544,0.87254,1.1755,0.001387,0.001387,0.001387
89,10273,1.01102,0.77435,1.17428,0.65287,0.53688,0.59315,0.42389,1.08438,0.87104,1.17354,0.001288,0.001288,0.001288
90,10377.4,1.00981,0.76662,1.16603,0.65598,0.5318,0.59536,0.42612,1.08378,0.87036,1.17447,0.001189,0.001189,0.001189
91,10506.9,0.99228,0.71873,1.16381,0.6557,0.52693,0.59087,0.42208,1.08357,0.87637,1.17543,0.00109,0.00109,0.00109
92,10610,0.98747,0.70306,1.15757,0.64427,0.52951,0.58561,0.41879,1.08152,0.87853,1.17621,0.000991,0.000991,0.000991
93,10711.1,0.99005,0.70421,1.1563,0.65072,0.53089,0.58497,0.41611,1.08699,0.87891,1.17808,0.000892,0.000892,0.000892
94,10846.5,0.98976,0.69487,1.15398,0.66047,0.52542,0.58519,0.41604,1.09082,0.88127,1.18156,0.000793,0.000793,0.000793
95,10945.6,0.9757,0.68732,1.15215,0.65454,0.52625,0.58441,0.41633,1.08446,0.88047,1.17948,0.000694,0.000694,0.000694
96,11040.4,0.97649,0.68165,1.15021,0.64782,0.52947,0.58373,0.41575,1.08794,0.88179,1.18099,0.000595,0.000595,0.000595
97,11135.5,0.97204,0.6796,1.14853,0.64199,0.53421,0.58381,0.41556,1.08949,0.88319,1.18024,0.000496,0.000496,0.000496
98,11231.8,0.96989,0.66975,1.14357,0.64907,0.5445,0.58576,0.41657,1.08847,0.88184,1.17952,0.000397,0.000397,0.000397
99,11327.6,0.96624,0.66858,1.14188,0.65706,0.54093,0.58503,0.4149,1.09198,0.88328,1.18148,0.000298,0.000298,0.000298
100,11464.7,0.95665,0.65585,1.13992,0.65053,0.54548,0.58457,0.415,1.0925,0.88392,1.18196,0.000199,0.000199,0.000199
